score,info_tokens,lives,deck,moves_left,fives,fours,threes,twos,num_players,discard,play,tell_colour,tell_value,final_score
3,3,3,31,4,0,0,0,0,3,0,0,0,1,18
3,2,3,31,4,0,0,0,0,3,0,1,0,0,18
4,2,3,30,4,0,0,0,1,3,0,0,1,0,18
4,1,3,30,4,0,0,0,1,3,0,0,0,1,18
4,0,3,30,4,0,0,0,1,3,0,1,0,0,18
5,0,3,29,4,0,0,0,2,3,1,0,0,0,18
5,1,3,28,4,0,0,0,2,3,0,0,1,0,18
5,0,3,28,4,0,0,0,2,3,1,0,0,0,18
5,1,3,27,4,0,0,0,2,3,0,0,0,1,18
5,0,3,27,4,0,0,0,2,3,1,0,0,0,18
5,1,3,26,4,0,0,0,2,3,0,0,0,1,18
5,0,3,26,4,0,0,0,2,3,0,1,0,0,18
6,0,3,25,4,0,0,0,2,3,1,0,0,0,18
6,1,3,24,4,0,0,0,2,3,0,0,0,1,18
6,0,3,24,4,0,0,0,2,3,1,0,0,0,18
6,1,3,23,4,0,0,0,2,3,0,0,1,0,18
6,0,3,23,4,0,0,0,2,3,1,0,0,0,18
6,1,3,22,4,0,0,0,2,3,0,0,1,0,18
6,0,3,22,4,0,0,0,2,3,0,1,0,0,18
7,0,3,21,4,0,0,1,2,3,0,1,0,0,18
8,0,3,20,4,0,1,1,2,3,1,0,0,0,18
8,1,3,19,4,0,1,1,2,3,0,0,1,0,18
8,0,3,19,4,0,1,1,2,3,1,0,0,0,18
8,1,3,18,4,0,1,1,2,3,0,0,0,1,18
8,0,3,18,4,0,1,1,2,3,0,1,0,0,18
9,1,3,17,4,1,1,1,2,3,0,0,1,0,18
9,0,3,17,4,1,1,1,2,3,0,1,0,0,18
10,0,3,16,4,1,1,2,2,3,1,0,0,0,18
10,1,3,15,4,1,1,2,2,3,0,0,0,1,18
10,0,3,15,4,1,1,2,2,3,1,0,0,0,18
10,1,3,14,4,1,1,2,2,3,0,1,0,0,18
11,1,3,13,4,1,1,2,3,3,0,0,1,0,18
11,0,3,13,4,1,1,2,3,3,1,0,0,0,18
11,1,3,12,4,1,1,2,3,3,0,1,0,0,18
12,1,3,11,4,1,1,3,3,3,0,0,0,1,18
12,0,3,11,4,1,1,3,3,3,1,0,0,0,18
12,1,3,10,4,1,1,3,3,3,0,1,0,0,18
13,1,3,9,4,1,2,3,3,3,0,0,0,1,18
13,0,3,9,4,1,2,3,3,3,1,0,0,0,18
13,1,3,8,4,1,2,3,3,3,0,0,0,1,18
13,0,3,8,4,1,2,3,3,3,1,0,0,0,18
13,1,3,7,4,1,2,3,3,3,0,0,1,0,18
13,0,3,7,4,1,2,3,3,3,0,1,0,0,18
14,0,3,6,4,1,2,3,3,3,1,0,0,0,18
14,1,3,5,4,1,2,3,3,3,0,0,0,1,18
14,0,3,5,4,1,2,3,3,3,1,0,0,0,18
14,1,3,4,4,1,2,3,3,3,0,1,0,0,18
15,2,3,3,4,2,2,3,3,3,0,0,1,0,18
15,1,3,3,4,2,2,3,3,3,0,1,0,0,18
16,1,3,2,4,2,3,3,3,3,0,0,0,1,18
16,0,3,2,4,2,3,3,3,3,0,1,0,0,18
17,0,3,1,4,2,3,3,4,3,1,0,0,0,18
17,1,3,0,3,2,3,3,4,3,0,0,1,0,18
17,0,3,0,2,2,3,3,4,3,0,1,0,0,18
18,0,3,0,1,2,3,4,4,3,1,0,0,0,18
0,8,3,30,6,0,0,0,0,5,0,0,0,1,3
0,7,3,30,6,0,0,0,0,5,0,1,0,0,3
1,7,3,29,6,0,0,0,0,5,1,0,0,0,3
1,8,3,28,6,0,0,0,0,5,0,0,1,0,3
1,7,3,28,6,0,0,0,0,5,0,1,0,0,3
1,7,2,27,6,0,0,0,0,5,0,0,1,0,3
1,6,2,27,6,0,0,0,0,5,0,1,0,0,3
2,6,2,26,6,0,0,0,0,5,0,0,1,0,3
2,5,2,26,6,0,0,0,0,5,0,0,1,0,3
2,4,2,26,6,0,0,0,0,5,0,0,1,0,3
2,3,2,26,6,0,0,0,0,5,0,0,0,1,3
2,2,2,26,6,0,0,0,0,5,0,1,0,0,3
3,2,2,25,6,0,0,0,1,5,0,0,0,1,3
3,1,2,25,6,0,0,0,1,5,0,0,1,0,3
3,0,2,25,6,0,0,0,1,5,0,1,0,0,3
3,0,1,24,6,0,0,0,1,5,1,0,0,0,3
3,1,1,23,6,0,0,0,1,5,0,0,0,1,3
3,0,1,23,6,0,0,0,1,5,1,0,0,0,3
3,1,1,22,6,0,0,0,1,5,0,0,1,0,3
3,0,1,22,6,0,0,0,1,5,0,1,0,0,3
0,8,3,30,6,0,0,0,0,5,0,0,0,1,11
0,7,3,30,6,0,0,0,0,5,0,1,0,0,11
1,7,3,29,6,0,0,0,0,5,0,0,0,1,11
1,6,3,29,6,0,0,0,0,5,0,1,0,0,11
2,6,3,28,6,0,0,0,0,5,0,0,0,1,11
2,5,3,28,6,0,0,0,0,5,0,0,0,1,11
2,4,3,28,6,0,0,0,0,5,0,0,0,1,11
2,3,3,28,6,0,0,0,0,5,0,0,1,0,11
2,2,3,28,6,0,0,0,0,5,0,1,0,0,11
3,2,3,27,6,0,0,0,0,5,0,0,1,0,11
3,1,3,27,6,0,0,0,0,5,0,0,1,0,11
3,0,3,27,6,0,0,0,0,5,0,1,0,0,11
4,0,3,26,6,0,0,0,0,5,1,0,0,0,11
4,1,3,25,6,0,0,0,0,5,0,0,0,1,11
4,0,3,25,6,0,0,0,0,5,1,0,0,0,11
4,1,3,24,6,0,0,0,0,5,0,0,1,0,11
4,0,3,24,6,0,0,0,0,5,1,0,0,0,11
4,1,3,23,6,0,0,0,0,5,0,1,0,0,11
5,1,3,22,6,0,0,0,0,5,0,0,1,0,11
5,0,3,22,6,0,0,0,0,5,1,0,0,0,11
5,1,3,21,6,0,0,0,0,5,0,0,0,1,11
5,0,3,21,6,0,0,0,0,5,1,0,0,0,11
5,1,3,20,6,0,0,0,0,5,0,0,1,0,11
5,0,3,20,6,0,0,0,0,5,0,1,0,0,11
6,0,3,19,6,0,0,0,1,5,0,1,0,0,11
6,0,2,18,6,0,0,0,1,5,1,0,0,0,11
6,1,2,17,6,0,0,0,1,5,0,0,1,0,11
6,0,2,17,6,0,0,0,1,5,1,0,0,0,11
6,1,2,16,6,0,0,0,1,5,0,0,0,1,11
6,0,2,16,6,0,0,0,1,5,0,1,0,0,11
7,0,2,15,6,0,0,1,1,5,1,0,0,0,11
7,1,2,14,6,0,0,1,1,5,0,0,0,1,11
7,0,2,14,6,0,0,1,1,5,1,0,0,0,11
7,1,2,13,6,0,0,1,1,5,0,0,0,1,11
7,0,2,13,6,0,0,1,1,5,1,0,0,0,11
7,1,2,12,6,0,0,1,1,5,0,0,0,1,11
7,0,2,12,6,0,0,1,1,5,1,0,0,0,11
7,1,2,11,6,0,0,1,1,5,0,0,1,0,11
7,0,2,11,6,0,0,1,1,5,1,0,0,0,11
7,1,2,10,6,0,0,1,1,5,0,0,0,1,11
7,0,2,10,6,0,0,1,1,5,1,0,0,0,11
7,1,2,9,6,0,0,1,1,5,0,1,0,0,11
8,1,2,8,6,0,1,1,1,5,0,0,0,1,11
8,0,2,8,6,0,1,1,1,5,1,0,0,0,11
8,1,2,7,6,0,1,1,1,5,0,0,0,1,11
8,0,2,7,6,0,1,1,1,5,1,0,0,0,11
8,1,2,6,6,0,1,1,1,5,0,0,1,0,11
8,0,2,6,6,0,1,1,1,5,1,0,0,0,11
8,1,2,5,6,0,1,1,1,5,0,0,1,0,11
8,0,2,5,6,0,1,1,1,5,0,1,0,0,11
8,0,1,4,6,0,1,1,1,5,0,1,0,0,11
9,0,1,3,6,0,1,1,2,5,1,0,0,0,11
9,1,1,2,6,0,1,1,2,5,0,0,0,1,11
9,0,1,2,6,0,1,1,2,5,1,0,0,0,11
9,1,1,1,6,0,1,1,2,5,0,0,1,0,11
9,0,1,1,6,0,1,1,2,5,0,1,0,0,11
10,0,1,0,5,0,1,2,2,5,1,0,0,0,11
10,1,1,0,4,0,1,2,2,5,0,0,0,1,11
10,0,1,0,3,0,1,2,2,5,0,1,0,0,11
11,0,1,0,2,0,1,2,3,5,1,0,0,0,11
11,1,1,0,1,0,1,2,3,5,0,0,0,1,11
0,8,3,30,6,0,0,0,0,5,0,0,0,1,5
0,7,3,30,6,0,0,0,0,5,0,1,0,0,5
0,7,2,29,6,0,0,0,0,5,0,0,0,1,5
0,6,2,29,6,0,0,0,0,5,0,1,0,0,5
1,6,2,28,6,0,0,0,0,5,0,0,1,0,5
1,5,2,28,6,0,0,0,0,5,0,0,0,1,5
1,4,2,28,6,0,0,0,0,5,0,1,0,0,5
2,4,2,27,6,0,0,0,1,5,0,0,1,0,5
2,3,2,27,6,0,0,0,1,5,0,1,0,0,5
3,3,2,26,6,0,0,0,1,5,0,0,0,1,5
3,2,2,26,6,0,0,0,1,5,0,1,0,0,5
3,2,1,25,6,0,0,0,1,5,0,1,0,0,5
4,2,1,24,6,0,0,0,1,5,0,0,0,1,5
4,1,1,24,6,0,0,0,1,5,0,0,0,1,5
4,0,1,24,6,0,0,0,1,5,1,0,0,0,5
4,1,1,23,6,0,0,0,1,5,0,0,0,1,5
4,0,1,23,6,0,0,0,1,5,1,0,0,0,5
4,1,1,22,6,0,0,0,1,5,0,0,1,0,5
4,0,1,22,6,0,0,0,1,5,0,1,0,0,5
5,0,1,21,6,0,0,1,1,5,1,0,0,0,5
5,1,1,20,6,0,0,1,1,5,0,0,1,0,5
5,0,1,20,6,0,0,1,1,5,0,1,0,0,5
0,8,3,30,6,0,0,0,0,5,0,0,0,1,2
0,7,3,30,6,0,0,0,0,5,0,1,0,0,2
1,7,3,29,6,0,0,0,0,5,0,0,0,1,2
1,6,3,29,6,0,0,0,0,5,0,1,0,0,2
1,6,2,28,6,0,0,0,0,5,0,0,1,0,2
1,5,2,28,6,0,0,0,0,5,0,1,0,0,2
2,5,2,27,6,0,0,0,0,5,0,1,0,0,2
2,5,1,26,6,0,0,0,0,5,0,1,0,0,2
0,8,3,40,3,0,0,0,0,2,0,0,1,0,2
0,7,3,40,3,0,0,0,0,2,1,0,0,0,2
0,8,3,39,3,0,0,0,0,2,0,1,0,0,2
0,8,2,38,3,0,0,0,0,2,0,0,0,1,2
0,7,2,38,3,0,0,0,0,2,0,0,0,1,2
0,6,2,38,3,0,0,0,0,2,1,0,0,0,2
0,7,2,37,3,0,0,0,0,2,0,0,0,1,2
0,6,2,37,3,0,0,0,0,2,1,0,0,0,2
0,7,2,36,3,0,0,0,0,2,0,1,0,0,2
0,7,1,35,3,0,0,0,0,2,0,0,0,1,2
0,6,1,35,3,0,0,0,0,2,0,0,1,0,2
0,5,1,35,3,0,0,0,0,2,0,0,1,0,2
0,4,1,35,3,0,0,0,0,2,1,0,0,0,2
0,5,1,34,3,0,0,0,0,2,1,0,0,0,2
0,6,1,33,3,0,0,0,0,2,0,0,0,1,2
0,5,1,33,3,0,0,0,0,2,0,1,0,0,2
1,5,1,32,3,0,0,0,0,2,1,0,0,0,2
1,6,1,31,3,0,0,0,0,2,0,0,0,1,2
1,5,1,31,3,0,0,0,0,2,1,0,0,0,2
1,6,1,30,3,0,0,0,0,2,0,0,1,0,2
1,5,1,30,3,0,0,0,0,2,1,0,0,0,2
1,6,1,29,3,0,0,0,0,2,0,0,0,1,2
1,5,1,29,3,0,0,0,0,2,1,0,0,0,2
1,6,1,28,3,0,0,0,0,2,0,0,1,0,2
1,5,1,28,3,0,0,0,0,2,0,0,1,0,2
1,4,1,28,3,0,0,0,0,2,1,0,0,0,2
1,5,1,27,3,0,0,0,0,2,1,0,0,0,2
1,6,1,26,3,0,0,0,0,2,0,0,0,1,2
1,5,1,26,3,0,0,0,0,2,0,1,0,0,2
2,5,1,25,3,0,0,0,0,2,1,0,0,0,2
2,6,1,24,3,0,0,0,0,2,0,0,1,0,2
2,5,1,24,3,0,0,0,0,2,1,0,0,0,2
2,6,1,23,3,0,0,0,0,2,0,0,0,1,2
2,5,1,23,3,0,0,0,0,2,1,0,0,0,2
2,6,1,22,3,0,0,0,0,2,0,1,0,0,2
0,8,3,40,3,0,0,0,0,2,0,0,0,1,15
0,7,3,40,3,0,0,0,0,2,0,1,0,0,15
1,7,3,39,3,0,0,0,0,2,0,0,1,0,15
1,6,3,39,3,0,0,0,0,2,0,1,0,0,15
2,6,3,38,3,0,0,0,0,2,0,0,0,1,15
2,5,3,38,3,0,0,0,0,2,0,0,1,0,15
2,4,3,38,3,0,0,0,0,2,0,0,1,0,15
2,3,3,38,3,0,0,0,0,2,0,1,0,0,15
3,3,3,37,3,0,0,0,0,2,0,0,0,1,15
3,2,3,37,3,0,0,0,0,2,0,1,0,0,15
4,2,3,36,3,0,0,0,1,2,0,0,0,1,15
4,1,3,36,3,0,0,0,1,2,0,0,0,1,15
4,0,3,36,3,0,0,0,1,2,1,0,0,0,15
4,1,3,35,3,0,0,0,1,2,0,0,1,0,15
4,0,3,35,3,0,0,0,1,2,1,0,0,0,15
4,1,3,34,3,0,0,0,1,2,0,0,0,1,15
4,0,3,34,3,0,0,0,1,2,1,0,0,0,15
4,1,3,33,3,0,0,0,1,2,0,0,1,0,15
4,0,3,33,3,0,0,0,1,2,1,0,0,0,15
4,1,3,32,3,0,0,0,1,2,0,0,0,1,15
4,0,3,32,3,0,0,0,1,2,1,0,0,0,15
4,1,3,31,3,0,0,0,1,2,0,0,0,1,15
4,0,3,31,3,0,0,0,1,2,1,0,0,0,15
4,1,3,30,3,0,0,0,1,2,0,0,1,0,15
4,0,3,30,3,0,0,0,1,2,0,1,0,0,15
5,0,3,29,3,0,0,1,1,2,1,0,0,0,15
5,1,3,28,3,0,0,1,1,2,0,1,0,0,15
6,1,3,27,3,0,1,1,1,2,0,0,0,1,15
6,0,3,27,3,0,1,1,1,2,1,0,0,0,15
6,1,3,26,3,0,1,1,1,2,0,0,1,0,15
6,0,3,26,3,0,1,1,1,2,0,1,0,0,15
7,0,3,25,3,0,1,1,2,2,1,0,0,0,15
7,1,3,24,3,0,1,1,2,2,0,0,0,1,15
7,0,3,24,3,0,1,1,2,2,1,0,0,0,15
7,1,3,23,3,0,1,1,2,2,1,0,0,0,15
7,2,3,22,3,0,1,1,2,2,0,0,0,1,15
7,1,3,22,3,0,1,1,2,2,0,1,0,0,15
8,1,3,21,3,0,1,2,2,2,0,0,0,1,15
8,0,3,21,3,0,1,2,2,2,1,0,0,0,15
8,1,3,20,3,0,1,2,2,2,0,0,0,1,15
8,0,3,20,3,0,1,2,2,2,1,0,0,0,15
8,1,3,19,3,0,1,2,2,2,0,0,1,0,15
8,0,3,19,3,0,1,2,2,2,0,1,0,0,15
9,0,3,18,3,0,1,2,2,2,1,0,0,0,15
9,1,3,17,3,0,1,2,2,2,0,0,1,0,15
9,0,3,17,3,0,1,2,2,2,0,1,0,0,15
10,0,3,16,3,0,1,2,3,2,1,0,0,0,15
10,1,3,15,3,0,1,2,3,2,0,0,0,1,15
10,0,3,15,3,0,1,2,3,2,0,1,0,0,15
11,0,3,14,3,0,1,3,3,2,1,0,0,0,15
11,1,3,13,3,0,1,3,3,2,0,0,0,1,15
11,0,3,13,3,0,1,3,3,2,0,1,0,0,15
12,0,3,12,3,0,2,3,3,2,1,0,0,0,15
12,1,3,11,3,0,2,3,3,2,0,0,0,1,15
12,0,3,11,3,0,2,3,3,2,1,0,0,0,15
12,1,3,10,3,0,2,3,3,2,0,0,1,0,15
12,0,3,10,3,0,2,3,3,2,0,1,0,0,15
13,1,3,9,3,1,2,3,3,2,0,0,1,0,15
13,0,3,9,3,1,2,3,3,2,1,0,0,0,15
13,1,3,8,3,1,2,3,3,2,0,0,0,1,15
13,0,3,8,3,1,2,3,3,2,1,0,0,0,15
13,1,3,7,3,1,2,3,3,2,0,0,0,1,15
13,0,3,7,3,1,2,3,3,2,1,0,0,0,15
13,1,3,6,3,1,2,3,3,2,0,0,1,0,15
13,0,3,6,3,1,2,3,3,2,0,1,0,0,15
14,1,3,5,3,2,2,3,3,2,0,0,1,0,15
14,0,3,5,3,2,2,3,3,2,1,0,0,0,15
14,1,3,4,3,2,2,3,3,2,0,0,1,0,15
14,0,3,4,3,2,2,3,3,2,1,0,0,0,15
14,1,3,3,3,2,2,3,3,2,0,0,1,0,15
14,0,3,3,3,2,2,3,3,2,1,0,0,0,15
14,1,3,2,3,2,2,3,3,2,0,0,1,0,15
14,0,3,2,3,2,2,3,3,2,1,0,0,0,15
14,1,3,1,3,2,2,3,3,2,0,0,0,1,15
14,0,3,1,3,2,2,3,3,2,1,0,0,0,15
14,1,3,0,2,2,2,3,3,2,0,0,1,0,15
14,0,3,0,1,2,2,3,3,2,0,1,0,0,15
0,8,3,35,4,0,0,0,0,3,0,0,0,1,7
0,7,3,35,4,0,0,0,0,3,0,1,0,0,7
1,7,3,34,4,0,0,0,0,3,0,0,1,0,7
1,6,3,34,4,0,0,0,0,3,0,0,1,0,7
1,5,3,34,4,0,0,0,0,3,0,1,0,0,7
2,5,3,33,4,0,0,0,0,3,0,1,0,0,7
2,5,2,32,4,0,0,0,0,3,0,0,0,1,7
2,4,2,32,4,0,0,0,0,3,0,0,1,0,7
2,3,2,32,4,0,0,0,0,3,1,0,0,0,7
2,4,2,31,4,0,0,0,0,3,1,0,0,0,7
2,5,2,30,4,0,0,0,0,3,0,0,0,1,7
2,4,2,30,4,0,0,0,0,3,0,0,1,0,7
2,3,2,30,4,0,0,0,0,3,0,1,0,0,7
3,3,2,29,4,0,0,0,0,3,0,0,1,0,7
3,2,2,29,4,0,0,0,0,3,0,1,0,0,7
3,2,1,28,4,0,0,0,0,3,0,1,0,0,7
4,2,1,27,4,0,0,0,0,3,0,0,1,0,7
4,1,1,27,4,0,0,0,0,3,0,0,1,0,7
4,0,1,27,4,0,0,0,0,3,1,0,0,0,7
4,1,1,26,4,0,0,0,0,3,1,0,0,0,7
4,2,1,25,4,0,0,0,0,3,1,0,0,0,7
4,3,1,24,4,0,0,0,0,3,0,0,0,1,7
4,2,1,24,4,0,0,0,0,3,0,1,0,0,7
5,2,1,23,4,0,0,0,1,3,0,0,1,0,7
5,1,1,23,4,0,0,0,1,3,0,0,1,0,7
5,0,1,23,4,0,0,0,1,3,0,1,0,0,7
6,0,1,22,4,0,0,0,2,3,1,0,0,0,7
6,1,1,21,4,0,0,0,2,3,0,0,0,1,7
6,0,1,21,4,0,0,0,2,3,1,0,0,0,7
6,1,1,20,4,0,0,0,2,3,1,0,0,0,7
6,2,1,19,4,0,0,0,2,3,0,0,0,1,7
6,1,1,19,4,0,0,0,2,3,0,0,1,0,7
6,0,1,19,4,0,0,0,2,3,0,1,0,0,7
7,0,1,18,4,0,0,0,3,3,1,0,0,0,7
7,1,1,17,4,0,0,0,3,3,0,0,0,1,7
7,0,1,17,4,0,0,0,3,3,0,1,0,0,7
0,8,3,40,3,0,0,0,0,2,0,0,1,0,18
0,7,3,40,3,0,0,0,0,2,0,0,0,1,18
0,6,3,40,3,0,0,0,0,2,0,1,0,0,18
1,6,3,39,3,0,0,0,0,2,0,0,0,1,18
1,5,3,39,3,0,0,0,0,2,1,0,0,0,18
1,6,3,38,3,0,0,0,0,2,0,0,0,1,18
1,5,3,38,3,0,0,0,0,2,1,0,0,0,18
1,6,3,37,3,0,0,0,0,2,0,0,1,0,18
1,5,3,37,3,0,0,0,0,2,0,1,0,0,18
2,5,3,36,3,0,0,0,0,2,0,0,1,0,18
2,4,3,36,3,0,0,0,0,2,0,0,0,1,18
2,3,3,36,3,0,0,0,0,2,0,0,1,0,18
2,2,3,36,3,0,0,0,0,2,0,0,1,0,18
2,1,3,36,3,0,0,0,0,2,0,1,0,0,18
3,1,3,35,3,0,0,0,1,2,0,0,0,1,18
3,0,3,35,3,0,0,0,1,2,0,1,0,0,18
4,0,3,34,3,0,0,1,1,2,1,0,0,0,18
4,1,3,33,3,0,0,1,1,2,0,0,0,1,18
4,0,3,33,3,0,0,1,1,2,1,0,0,0,18
4,1,3,32,3,0,0,1,1,2,0,0,1,0,18
4,0,3,32,3,0,0,1,1,2,0,1,0,0,18
5,0,3,31,3,0,1,1,1,2,1,0,0,0,18
5,1,3,30,3,0,1,1,1,2,1,0,0,0,18
5,2,3,29,3,0,1,1,1,2,0,0,0,1,18
5,1,3,29,3,0,1,1,1,2,1,0,0,0,18
5,2,3,28,3,0,1,1,1,2,0,0,1,0,18
5,1,3,28,3,0,1,1,1,2,0,1,0,0,18
6,1,3,27,3,0,1,1,2,2,0,0,1,0,18
6,0,3,27,3,0,1,1,2,2,1,0,0,0,18
6,1,3,26,3,0,1,1,2,2,0,0,0,1,18
6,0,3,26,3,0,1,1,2,2,0,1,0,0,18
7,0,3,25,3,0,1,1,2,2,0,1,0,0,18
8,0,3,24,3,0,1,1,3,2,0,1,0,0,18
9,0,3,23,3,0,1,1,3,2,1,0,0,0,18
9,1,3,22,3,0,1,1,3,2,0,0,0,1,18
9,0,3,22,3,0,1,1,3,2,1,0,0,0,18
9,1,3,21,3,0,1,1,3,2,1,0,0,0,18
9,2,3,20,3,0,1,1,3,2,0,0,0,1,18
9,1,3,20,3,0,1,1,3,2,1,0,0,0,18
9,2,3,19,3,0,1,1,3,2,0,0,1,0,18
9,1,3,19,3,0,1,1,3,2,0,1,0,0,18
10,1,3,18,3,0,1,1,3,2,0,0,1,0,18
10,0,3,18,3,0,1,1,3,2,1,0,0,0,18
10,1,3,17,3,0,1,1,3,2,0,0,0,1,18
10,0,3,17,3,0,1,1,3,2,0,1,0,0,18
11,0,3,16,3,0,1,2,3,2,1,0,0,0,18
11,1,3,15,3,0,1,2,3,2,0,1,0,0,18
12,1,3,14,3,0,1,2,4,2,0,0,1,0,18
12,0,3,14,3,0,1,2,4,2,1,0,0,0,18
12,1,3,13,3,0,1,2,4,2,0,0,0,1,18
12,0,3,13,3,0,1,2,4,2,0,1,0,0,18
13,0,3,12,3,0,1,2,5,2,1,0,0,0,18
13,1,3,11,3,0,1,2,5,2,0,0,0,1,18
13,0,3,11,3,0,1,2,5,2,0,1,0,0,18
14,0,3,10,3,0,1,3,5,2,1,0,0,0,18
14,1,3,9,3,0,1,3,5,2,0,0,0,1,18
14,0,3,9,3,0,1,3,5,2,1,0,0,0,18
14,1,3,8,3,0,1,3,5,2,0,0,0,1,18
14,0,3,8,3,0,1,3,5,2,1,0,0,0,18
14,1,3,7,3,0,1,3,5,2,0,0,1,0,18
14,0,3,7,3,0,1,3,5,2,0,1,0,0,18
15,0,3,6,3,0,1,4,5,2,1,0,0,0,18
15,1,3,5,3,0,1,4,5,2,0,0,0,1,18
15,0,3,5,3,0,1,4,5,2,0,1,0,0,18
16,1,3,4,3,1,1,4,5,2,0,0,0,1,18
16,0,3,4,3,1,1,4,5,2,0,1,0,0,18
17,0,3,3,3,1,2,4,5,2,1,0,0,0,18
17,1,3,2,3,1,2,4,5,2,1,0,0,0,18
17,2,3,1,3,1,2,4,5,2,0,0,1,0,18
17,1,3,1,3,1,2,4,5,2,0,1,0,0,18
18,1,3,0,2,1,2,5,5,2,1,0,0,0,18
18,2,3,0,1,1,2,5,5,2,0,0,1,0,18
0,8,3,30,6,0,0,0,0,5,0,1,0,0,5
0,8,2,29,6,0,0,0,0,5,0,0,0,1,5
0,7,2,29,6,0,0,0,0,5,0,1,0,0,5
1,7,2,28,6,0,0,0,0,5,0,0,0,1,5
1,6,2,28,6,0,0,0,0,5,0,1,0,0,5
2,6,2,27,6,0,0,0,0,5,0,1,0,0,5
2,6,1,26,6,0,0,0,0,5,0,0,0,1,5
2,5,1,26,6,0,0,0,0,5,0,0,0,1,5
2,4,1,26,6,0,0,0,0,5,0,0,0,1,5
2,3,1,26,6,0,0,0,0,5,0,0,0,1,5
2,2,1,26,6,0,0,0,0,5,0,1,0,0,5
3,2,1,25,6,0,0,0,0,5,0,0,1,0,5
3,1,1,25,6,0,0,0,0,5,0,1,0,0,5
4,1,1,24,6,0,0,0,1,5,0,0,1,0,5
4,0,1,24,6,0,0,0,1,5,0,1,0,0,5
5,0,1,23,6,0,0,0,1,5,0,1,0,0,5
0,8,3,34,5,0,0,0,0,4,0,0,0,1,4
0,7,3,34,5,0,0,0,0,4,0,0,0,1,4
0,6,3,34,5,0,0,0,0,4,0,0,1,0,4
0,5,3,34,5,0,0,0,0,4,0,1,0,0,4
